Name,Postcode,Latitude,Longitude
School_2511,E1 5DJ,51.52075069,-0.060036197
School_3971,E2 0HW,51.5264375,-0.053739337
School_1152,KT3 4LT,51.3994207,-0.24792748
School_1153,KT3 4LT,51.3994207,-0.24792748
School_3419,KT3 5AS,51.39735777,-0.262784484
School_764,BR1 2RL,51.40311323,0.034516618
School_1759,BR1 2SQ,51.40230808,0.030642135
School_2201,BR1 2PR,51.41084541,0.030459725
School_2862,BR7 5LJ,51.4089126,0.048003045
School_3341,BR1 2DS,51.40125852,0.043951888
School_3343,BR1 2PR,51.41001336,0.034362849
School_3347,BR1 2TW,51.39529981,0.057127361
School_3826,BR1 2DS,51.40125852,0.043951888
School_3829,BR1 2TW,51.39529981,0.057127361
School_1968,TN16 3LY,51.31467689,0.040204481
School_2297,TN16 3DN,51.31562497,0.024963422
School_251,SE11 6DS,51.4939405,-0.1133116
School_1977,SE1 7RH,51.50070808,-0.111389447
School_2482,SE1 9NA,51.50643993,-0.10825589
School_3076,SE1 7HS,51.49838259,-0.111615288
School_3762,SE1 7RW,51.50032501,-0.116087967
School_2673,CM23 2NQ,51.8704467,0.153682386
School_686,DA15 8QW,51.44756433,0.091786009
School_2197,DA15 8JU,51.44744123,0.098170385
School_318,SE3 0TP,51.46626415,0.005117307
School_328,SE3 0TX,51.46948446,0.003487482
School_333,SE13 5SG,51.45960053,0.005113239
School_1895,SE3 0XX,51.46420994,7.48E-05
School_2754,SE3 0XX,51.46420994,7.48E-05
School_3209,SE3 0TG,51.46708915,0.009458396
School_60,SE3 7HE,51.47897523,0.020594728
School_2449,SE3 7UD,51.47863213,0.007056735
School_3204,SE3 7TH,51.47485601,0.017489364
School_3205,SE3 0NJ,51.47244001,0.015741243
School_3266,SE3 7AG,51.47751984,0.015806804
School_3568,SE3 7SE,51.48016594,0.017248522
School_3776,SE3 7AG,51.47751984,0.015806804
School_3978,SE3 7SE,51.48016594,0.017248522
School_421,E14 3NE,51.4948007,-0.009793779
School_442,E14 0EW,51.51051313,-0.008834658
School_445,E14 3NE,51.4948007,-0.009793779
School_463,E14 3EB,51.49024607,-0.005310721
School_1954,E14 3BA,51.48911005,-0.013614138
School_2228,E14 3BA,51.48911005,-0.013614138
School_2512,E14 3DW,51.48812683,-0.00760714
School_3639,E14 0FH,51.50844157,0.008742624
School_2181,DA15 9JQ,51.4469538,0.11179124
School_2996,DA15 9NU,51.44861966,0.112170409
School_2797,SS0 0BP,51.5523672,0.668939619
School_2833,SS0 0BS,51.55241269,0.667730462
School_1610,RH1 4PP,51.23804945,-0.093942662
School_3512,RH1 4QJ,51.25102577,-0.113869734
School_3939,RH1 4QJ,51.25102577,-0.113869734
School_3701,WC1B 3DN,51.51829685,-0.129846471
School_4060,WC1A 2PJ,51.51962247,-0.123320129
School_4109,WC1B 3DN,51.51829685,-0.129846471
School_1264,E6 1QP,51.53462764,0.043145605
School_1271,E13 9AX,51.5328507,0.037255429
School_1723,E6 3DW,51.52940025,0.044324528
School_1632,KT23 3PP,51.28429312,-0.369770882
School_1518,WD6 4PA,51.6648984,-0.28694046
School_1492,WD6 5DP,51.66485952,-0.27324805
School_1515,WD6 5JF,51.66674438,-0.271788052
School_1565,WD6 5HL,51.66020302,-0.270909447
School_1573,WD6 4EP,51.67003632,-0.281019513
School_1516,WD6 2DW,51.65040886,-0.267769923
School_1522,WD6 1HL,51.65490415,-0.264663509
School_2887,WD6 1HL,51.65424647,-0.268230613
School_1517,WD6 1QL,51.65498935,-0.256463026
School_1521,WD6 2PP,51.65088596,-0.252645295
School_3067,WD6 5NN,51.66059312,-0.261409558
School_1096,UB3 2AB,51.50771794,-0.420734065
School_2038,UB3 2PD,51.51762287,-0.438522813
School_2170,UB3 1JA,51.51266939,-0.425837357
School_2259,UB3 2SE,51.52087288,-0.430729174
School_2897,UB3 2SE,51.51998882,-0.429174027
School_3022,UB3 2SE,51.51998805,-0.429116399
School_3499,UB11 1BD,51.50810491,-0.44294062
School_3658,UB3 4SA,51.5014265,-0.418977646
School_3665,UB11 1BD,51.50810491,-0.44294062
School_3694,UB11 1BD,51.50810491,-0.44294062
School_3695,UB11 1BD,51.50811371,-0.44292591
School_3926,UB11 1BD,51.50810491,-0.44294062
School_3950,UB11 1BD,51.50810491,-0.44294062
School_4058,UB11 1BD,51.50810491,-0.44294062
School_4088,UB11 1BD,51.50811371,-0.44292591
