Name,Count of Workers,Latitude,Longitude
TN14,73,51.29525,0.16172
TN16,3212,51.29362,0.05262
TW1,14602,51.44982,-0.3247
TW10,5492,51.44949,-0.30168
TW11,12020,51.42653,-0.33131
TW12,7374,51.42166,-0.36888
TW13,13270,51.43828,-0.39995
TW14,14896,51.45202,-0.41818
TW15,581,51.43002,-0.45491
TW19,620,51.45221,-0.50166
TW2,11353,51.44657,-0.34929
TW3,29869,51.46742,-0.36149
TW4,7792,51.46593,-0.38314
TW5,6385,51.48029,-0.3812
TW6,37801,51.46948,-0.44638
TW7,14389,51.47331,-0.33248
TW8,17924,51.48552,-0.30611
TW9,17558,51.46736,-0.29382
UB1,8321,51.51435,-0.37278
UB10,8504,51.5478,-0.45236
UB11,5896,51.51909,-0.45766
UB2,10290,51.49915,-0.37909
UB3,20379,51.50513,-0.42211
UB4,6705,51.52381,-0.40704
UB5,5088,51.54315,-0.37464
UB6,16267,51.53911,-0.34306
UB7,23833,51.50576,-0.46964
UB8,34826,51.53458,-0.473
UB9,4172,51.58157,-0.49019
W10,15452,51.52103,-0.21397
W11,10833,51.51189,-0.20424
W12,21785,51.50777,-0.2289
W13,6225,51.5127,-0.31951
W14,9583,51.49488,-0.20923
W1A,6117,51.518562,-0.143799
W1B,13920,51.51357,-0.13931
W1C,9976,51.51371,-0.14795
W1D,17863,51.51344,-0.13066
W1F,20990,51.51261,-0.13502
W1G,18226,51.51818,-0.14633
W1H,10080,51.51659,-0.15936
W1J,21091,51.50735,-0.14388
W1K,15735,51.51104,-0.1495
W1S,22225,51.5109,-0.14086
W1T,26849,51.5198,-0.13473
W1U,19973,51.51827,-0.15209
W1W,18622,51.51897,-0.13909
W2,41622,51.51508,-0.17816
W3,15299,51.50925,-0.26775
W4,27734,51.49118,-0.26268
W5,20693,51.51243,-0.30078
W6,39363,51.49246,-0.22805
W7,4195,51.5111,-0.33398
W8,25359,51.50003,-0.19317
W9,5373,51.52607,-0.1907
WC1A,5026,51.51694,-0.12475
WC1B,7934,51.51876,-0.12612
WC1E,10423,51.52065,-0.13181
WC1H,11112,51.52415,-0.1259
WC1N,11399,51.52136,-0.12025
WC1R,5814,51.5186,-0.11604
WC1V,13781,51.51685,-0.11899
WC1X,14718,51.52489,-0.11578
WC2A,24124,51.51588,-0.11471
WC2B,18901,51.5151,-0.12195
WC2E,9918,51.51242,-0.1235
WC2H,16518,51.51339,-0.12778
WC2N,12180,51.50975,-0.12505
WC2R,14977,51.51145,-0.11921
WD3,17,51.6453,-0.48085
WD6,73,51.65684,-0.27514
