Name,Borough,Latitude,Longitude
Real Ale Way (Pub),Bromley,51.37639704,0.011535146
Pie & Pint Bar (Pub),Bromley,51.37610784,0.006895637
George (Pub),Bromley,51.37989559,0.01831303
Crooked Billet (Pub),Bromley,51.38987377,0.056812402
Chequers (Pub),Bromley,51.39025702,0.045186993
Two Doves (Pub),Bromley,51.37232302,0.039661605
Bird in Hand (Pub),Bromley,51.37438391,0.042669913
Bricklayers Arms (Pub),Bromley,51.3957763,0.025623657
Crown of Bromley (Pub),Bromley,51.39531301,0.025373215
Chatterton Arms (Pub),Bromley,51.39292445,0.035042458
Crown (Pub),Bromley,51.39046836,0.034588649
George Inn (Pub),Bromley,51.40699982,-0.027685611
White Horse (Pub),Bromley,51.40640358,-0.030198762
Kelsey House (Pub),Bromley,51.40750125,-0.025952939
O'Neill's (Pub),Bromley,51.41062588,-0.025128129
Patrick's Bar (Pub),Bromley,51.41062588,-0.025128129
Bricklayers Arms (Pub),Bromley,51.40663729,-0.031799129
Slug & Lettuce (Pub),Bromley,51.40776274,-0.027063241
Eden Park (Pub),Bromley,51.38967591,-0.026921292
Coach & Horses (Pub),Bromley,51.40621253,-0.02632477
Club Langley (Pub),Bromley,51.38858502,-0.022483782
Elm Tree (Pub),Bromley,51.39879358,-0.045117566
Chancery (Pub),Bromley,51.4069174,-0.01799787
Jolly Woodman (Pub),Bromley,51.40660457,-0.01864406
Railway Hotel (Pub),Bromley,51.38022597,-0.013143588
Wheatsheaf (Pub),Bromley,51.37681756,-0.021107919
Swan (Pub),Bromley,51.37613983,-0.016122245
Coney (Pub),Bromley,51.37022001,0.00202664
Sovereign of the Seas (Pub),Bromley,51.38951007,0.071844947
One Inn The Wood (Pub),Bromley,51.3900845,0.073940648
Daylight Inn (Pub),Bromley,51.3890103,0.075185706
Bull Inn (Pub),Bromley,51.40390512,0.117715051
White Swan (Pub),Bromley,51.3863671,0.112363635
Beech Tree (Pub),Bromley,51.38479564,0.111242037
Cricketers (Pub),Bromley,51.38145618,0.100424583
White Hart (Pub),Bromley,51.37953033,0.10250647
Harvest Moon (Pub),Bromley,51.37784142,0.101408812
Maxwell (Pub),Bromley,51.37253999,0.094643022
Royal Oak (Pub),Bromley,51.3514684,0.089173289
Queen's Head (Pub),Bromley,51.35293308,0.089239858
Rose & Crown (Pub),Bromley,51.35028941,0.088214965
Chelsfield (Pub),Bromley,51.35635019,0.10532368
Woodman (Pub),Bromley,51.35921947,0.069976516
Change of Horses (Pub),Bromley,51.35952909,0.067720969
Bulls Head (Pub),Bromley,51.34014509,0.11177491
Bo Peep (Pub),Bromley,51.35029868,0.137517273
Five Bells (Pub),Bromley,51.35705552,0.127489927
Queen's Head (Pub),Bromley,51.33666059,0.053872166
George & Dragon (Pub),Bromley,51.33620456,0.05372259
Whyte Lyon (Ye Olde) (Pub),Bromley,51.36396732,0.057232923
British Queen (Pub),Bromley,51.36670343,0.054539665
Black Horse (Pub),Bromley,51.36824788,0.056720609
Buff (Pub),Bromley,51.35879727,0.086676796
Queens Head (Pub),Bromley,51.4181861,0.067877147
Gordon Arms (Pub),Bromley,51.41910818,0.068623577
Imperial Arms (Pub),Bromley,51.40876917,0.060808569
Rambler's Rest (Pub),Bromley,51.40870378,0.061970351
Bickley (Pub),Bromley,51.40767856,0.055827577
Tigers Head (Pub),Bromley,51.40948802,0.069008551
